@relation tutorial3.arff-weka.filters.unsupervised.attribute.Remove-R8-weka.filters.unsupervised.attribute.Remove-R28

@attribute pacman_x numeric
@attribute pacman_y numeric
@attribute legal_north {None,North}
@attribute legal_south {None,South}
@attribute legal_east {None,East}
@attribute legal_west {None,West}
@attribute pacman_direction {Stop,East,West,South,North}
@attribute ghost1_alive {True,False}
@attribute ghost2_alive {True,False}
@attribute ghost3_alive {True,False}
@attribute ghost4_alive {True,False}
@attribute distance_ghost1 numeric
@attribute distance_ghost2 numeric
@attribute distance_ghost3 numeric
@attribute distance_ghost4 numeric
@attribute ghost1_x numeric
@attribute ghost1_y numeric
@attribute ghost2_x numeric
@attribute ghost2_y numeric
@attribute ghost3_x numeric
@attribute ghost3_y numeric
@attribute ghost4_x numeric
@attribute ghost4_y numeric
@attribute dots_left numeric
@attribute closest_dot numeric
@attribute score numeric
@attribute next_action {Stop,East,West,South,North}

@data
12,7,North,South,East,West,West,True,True,False,False,9,17,1000,1000,4,6,1,13,5,1,7,1,1,8,388,West
11,7,North,South,East,West,West,True,True,False,False,9,16,1000,1000,3,6,1,13,5,1,7,1,1,9,387,West
10,7,North,South,East,West,West,True,True,False,False,7,16,1000,1000,3,7,1,14,5,1,7,1,1,10,386,West
9,7,North,South,East,West,West,True,True,False,False,7,15,1000,1000,2,7,1,14,5,1,7,1,1,11,385,West
8,7,North,South,East,West,West,True,True,False,False,7,14,1000,1000,2,8,1,14,5,1,7,1,1,12,384,West
7,7,North,South,East,West,West,True,True,False,False,6,12,1000,1000,2,8,1,13,5,1,7,1,1,13,383,West
6,7,North,South,East,West,West,True,True,False,False,5,10,1000,1000,2,8,1,12,5,1,7,1,1,14,382,West
5,7,North,South,East,West,West,True,True,False,False,5,9,1000,1000,2,9,1,12,5,1,7,1,1,15,381,West
4,7,North,South,East,West,West,True,True,False,False,5,7,1000,1000,1,9,2,12,5,1,7,1,1,16,380,West
3,7,North,South,East,West,West,True,True,False,False,3,5,1000,1000,1,8,2,11,5,1,7,1,1,17,379,West
2,7,North,South,East,West,West,True,True,False,False,3,5,1000,1000,1,9,3,11,5,1,7,1,1,18,378,West
1,7,North,South,East,None,West,True,True,False,False,1,7,1000,1000,1,8,3,12,5,1,7,1,1,19,377,West
1,8,North,South,East,None,North,True,True,False,False,1,6,1000,1000,1,9,3,12,5,1,7,1,1,18,376,North
2,8,North,South,East,West,East,True,True,False,False,2,6,1000,1000,1,9,4,12,5,1,7,1,1,17,375,East
3,8,North,South,East,West,East,True,True,False,False,2,5,1000,1000,2,9,4,12,5,1,7,1,1,16,374,East
3,9,None,South,East,West,North,True,True,False,False,2,3,1000,1000,1,9,4,11,5,1,7,1,1,15,373,North
2,9,None,South,East,West,West,True,True,False,False,2,5,1000,1000,1,8,4,12,5,1,7,1,1,16,372,West
1,9,None,South,East,None,West,True,True,False,False,1,6,1000,1000,1,8,4,12,5,1,7,1,1,17,371,West
1,8,North,South,East,None,South,False,True,False,False,1000,6,1000,1000,1,1,4,11,5,1,7,1,1,18,570,South
2,8,North,South,East,West,East,False,True,False,False,1000,5,1000,1000,1,1,4,11,5,1,7,1,1,17,569,East
3,8,North,South,East,West,East,False,True,False,False,1000,3,1000,1000,1,1,3,11,5,1,7,1,1,16,568,East
4,8,North,South,East,West,East,False,True,False,False,1000,3,1000,1000,1,1,4,11,5,1,7,1,1,15,567,East
5,8,North,South,East,West,East,False,True,False,False,1000,5,1000,1000,1,1,3,11,5,1,7,1,1,14,566,East
5,9,None,South,East,West,North,False,True,False,False,1000,5,1000,1000,1,1,2,11,5,1,7,1,1,13,565,North
5,9,None,South,East,West,North,False,True,False,False,1000,4,1000,1000,1,1,3,11,5,1,7,1,1,13,564,Stop
6,9,North,South,East,West,East,False,True,False,False,1000,6,1000,1000,1,1,3,12,5,1,7,1,1,12,563,East
6,10,North,South,East,None,North,False,True,False,False,1000,4,1000,1000,1,1,4,12,5,1,7,1,1,13,562,North
6,11,North,South,East,West,North,False,True,False,False,1000,4,1000,1000,1,1,4,13,5,1,7,1,1,14,561,North
6,12,North,South,East,West,North,False,True,False,False,1000,2,1000,1000,1,1,4,12,5,1,7,1,1,15,560,North
5,12,North,South,East,West,West,False,True,False,False,1000,2,1000,1000,1,1,3,12,5,1,7,1,1,16,559,West
4,12,North,South,East,West,West,False,True,False,False,1000,2,1000,1000,1,1,3,11,5,1,7,1,1,17,558,West
3,12,North,South,East,West,West,False,True,False,False,1000,2,1000,1000,1,1,4,11,5,1,7,1,1,18,557,West
3,11,None,None,None,None,South,False,False,False,False,1000,1000,1000,1000,1,1,3,11,5,1,7,1,1,17,756,South
1,11,None,South,East,None,Stop,True,True,True,True,11,7,7,18,6,5,6,9,8,11,14,6,2,14,-1,Stop
1,11,None,South,East,None,Stop,True,True,True,True,12,8,8,19,7,5,6,8,9,11,14,5,2,14,-2,Stop
2,11,None,None,East,West,East,True,True,True,True,11,8,8,19,7,5,6,7,10,11,15,5,2,13,-3,East
3,11,None,None,East,West,East,True,True,True,True,11,7,8,18,7,4,6,7,11,11,15,5,2,12,-4,East
4,11,None,None,East,West,East,True,True,True,True,10,5,8,16,7,4,5,7,12,11,14,5,2,11,-5,East
5,11,None,South,East,West,East,True,True,True,True,8,4,6,14,7,5,5,7,11,11,13,5,2,10,-6,East
5,10,North,South,East,None,South,True,True,True,True,8,4,7,14,8,5,6,7,11,11,13,4,2,9,-7,South
5,9,North,South,East,West,South,True,True,True,True,8,2,7,14,8,4,5,7,10,11,14,4,2,8,-8,South
5,8,North,South,East,West,South,True,True,True,True,8,2,7,14,9,4,4,7,10,10,14,3,2,7,-9,South
5,7,North,None,East,West,South,True,True,True,True,7,2,9,12,9,4,4,8,11,10,14,4,2,6,-10,South
4,7,North,None,East,West,West,True,True,True,True,8,2,11,13,9,4,4,9,11,11,14,4,2,7,-11,West
4,8,North,South,East,West,North,True,True,True,True,8,2,10,15,8,4,3,9,11,11,14,3,2,8,-12,North
3,8,North,South,East,West,West,True,False,True,True,10,1000,12,15,9,4,3,8,12,11,14,4,2,9,187,West
2,8,North,South,East,West,West,True,False,True,True,10,1000,14,15,8,4,3,1,13,11,14,5,2,10,186,West
3,8,North,South,East,West,East,True,False,True,True,8,1000,12,15,7,4,3,1,12,11,15,5,2,9,185,East
4,8,North,South,East,West,East,True,False,True,True,8,1000,12,14,8,4,3,1,13,11,15,5,2,8,184,East
5,8,North,South,East,West,East,True,False,True,True,6,1000,10,13,7,4,3,1,12,11,15,5,2,7,183,East
5,7,North,None,East,West,South,True,False,True,True,5,1000,10,13,7,4,3,1,11,11,16,5,2,6,182,South
5,7,North,None,East,West,South,True,False,True,True,5,1000,10,12,7,4,3,1,11,11,15,5,2,6,181,Stop
6,7,North,None,East,West,East,True,False,True,True,3,1000,8,12,7,5,3,1,11,10,15,4,2,5,180,East
7,7,North,None,East,West,East,True,False,True,True,3,1000,7,12,6,5,3,1,11,10,16,4,2,4,179,East
8,7,North,South,East,West,East,True,False,True,True,5,1000,6,10,6,4,3,1,11,10,15,4,2,3,178,East
8,6,North,South,East,None,South,True,False,True,True,5,1000,6,9,6,3,3,1,11,9,15,4,2,2,177,South
8,5,North,South,East,West,South,True,False,True,True,5,1000,8,9,5,3,3,1,12,9,16,4,2,3,176,South
7,5,None,South,East,West,West,True,False,True,True,3,1000,8,11,5,4,3,1,12,8,17,4,2,4,175,West
6,5,None,South,East,West,West,True,False,True,True,3,1000,8,12,4,4,3,1,12,7,17,4,2,5,174,West
5,5,None,South,East,West,West,True,False,True,True,3,1000,10,12,3,4,3,1,12,8,17,5,2,6,173,West
4,5,None,South,East,West,West,True,False,True,True,1,1000,12,13,4,4,3,1,13,8,17,5,2,7,172,West
4,4,North,South,East,West,South,True,False,True,True,1,1000,12,15,4,3,3,1,13,7,18,5,2,8,171,South
4,3,North,None,East,West,South,False,False,True,True,1000,1000,14,15,4,3,3,1,14,7,17,5,2,9,370,South
5,3,North,None,East,West,East,False,False,True,True,1000,1000,12,14,1,1,3,1,13,7,17,5,2,8,369,East
6,3,North,None,East,West,East,False,False,True,True,1000,1000,12,12,1,1,3,1,14,7,16,5,2,7,368,East
6,4,North,South,East,West,North,False,False,True,True,1000,1000,10,10,1,1,3,1,14,6,15,5,2,6,367,North
7,4,North,South,East,West,East,False,False,True,True,1000,1000,10,9,1,1,3,1,14,7,15,5,2,5,366,East
8,4,North,South,East,West,East,False,False,True,True,1000,1000,8,9,1,1,3,1,14,6,16,5,2,4,365,East
9,4,North,South,East,West,East,False,False,True,True,1000,1000,6,7,1,1,3,1,14,5,16,4,2,3,364,East
10,4,North,South,East,West,East,False,False,True,True,1000,1000,4,7,1,1,3,1,14,4,16,3,2,2,363,East
10,5,North,South,East,West,North,False,False,True,True,1000,1000,4,8,1,1,3,1,13,4,16,3,2,1,362,North
10,6,North,South,None,West,North,False,False,True,True,1000,1000,6,9,1,1,3,1,13,3,16,3,1,8,461,North
10,7,North,South,None,West,North,False,False,True,True,1000,1000,8,11,1,1,3,1,14,3,17,3,1,7,460,North
10,8,North,South,None,West,North,False,False,True,True,1000,1000,10,13,1,1,3,1,15,3,18,3,1,6,459,North
10,7,North,South,None,West,South,False,False,True,True,1000,1000,9,11,1,1,3,1,15,3,18,4,1,7,458,South
10,6,North,South,None,West,South,False,False,True,True,1000,1000,9,9,1,1,3,1,16,3,18,5,1,8,457,South
10,5,North,South,East,West,South,False,False,True,True,1000,1000,9,8,1,1,3,1,17,3,18,5,1,9,456,South
11,5,None,South,East,West,East,False,False,True,True,1000,1000,7,6,1,1,3,1,17,4,17,5,1,8,455,East
12,5,None,None,East,West,East,False,False,True,True,1000,1000,7,6,1,1,3,1,17,3,17,4,1,7,454,East
13,5,None,South,East,West,East,False,False,True,True,1000,1000,7,5,1,1,3,1,18,3,17,4,1,6,453,East
14,5,North,South,East,West,East,False,False,True,True,1000,1000,5,5,1,1,3,1,17,3,18,4,1,5,452,East
15,5,None,South,East,West,East,False,False,True,True,1000,1000,3,5,1,1,3,1,17,4,18,3,1,6,451,East
16,5,None,South,East,West,East,False,False,True,True,1000,1000,3,3,1,1,3,1,18,4,18,4,1,7,450,East
17,5,None,South,East,West,East,False,False,True,True,1000,1000,1,1,1,1,3,1,17,4,17,4,1,8,449,East
18,5,North,South,None,West,East,False,False,False,True,1000,1000,1000,3,1,1,3,1,5,1,16,4,1,9,648,East
