@relation tutorial3.arff-weka.filters.unsupervised.attribute.Remove-R8-weka.filters.unsupervised.attribute.Remove-R28-weka.filters.unsupervised.attribute.Remove-R7

@attribute pacman_x numeric
@attribute pacman_y numeric
@attribute legal_north {None,North}
@attribute legal_south {None,South}
@attribute legal_east {None,East}
@attribute legal_west {None,West}
@attribute ghost1_alive {True,False}
@attribute ghost2_alive {True,False}
@attribute ghost3_alive {True,False}
@attribute ghost4_alive {True,False}
@attribute distance_ghost1 numeric
@attribute distance_ghost2 numeric
@attribute distance_ghost3 numeric
@attribute distance_ghost4 numeric
@attribute ghost1_x numeric
@attribute ghost1_y numeric
@attribute ghost2_x numeric
@attribute ghost2_y numeric
@attribute ghost3_x numeric
@attribute ghost3_y numeric
@attribute ghost4_x numeric
@attribute ghost4_y numeric
@attribute dots_left numeric
@attribute closest_dot numeric
@attribute score numeric
@attribute next_action {Stop,East,West,South,North}

@data
13,9,None,South,None,West,False,False,False,True,1000,1000,1000,5,1,1,3,1,5,1,18,9,60,2,1368,North
12,9,None,None,East,West,False,False,False,True,1000,1000,1000,5,1,1,3,1,5,1,17,9,60,3,1367,West
13,9,None,South,None,West,False,False,False,True,1000,1000,1000,4,1,1,3,1,5,1,17,9,60,2,1366,East
12,9,None,None,East,West,False,False,False,True,1000,1000,1000,5,1,1,3,1,5,1,17,9,60,3,1365,West
13,9,None,South,None,West,False,False,False,True,1000,1000,1000,5,1,1,3,1,5,1,18,9,60,2,1364,East
13,8,North,South,None,None,False,False,False,True,1000,1000,1000,5,1,1,3,1,5,1,17,9,60,1,1363,South
13,9,None,South,None,West,False,False,False,True,1000,1000,1000,4,1,1,3,1,5,1,17,9,60,2,1362,North
12,9,None,None,East,West,False,False,False,True,1000,1000,1000,4,1,1,3,1,5,1,16,9,60,3,1361,West
13,9,None,South,None,West,False,False,False,True,1000,1000,1000,3,1,1,3,1,5,1,16,9,60,2,1360,East
13,8,North,South,None,None,False,False,False,True,1000,1000,1000,4,1,1,3,1,5,1,16,9,60,1,1359,South
13,9,None,South,None,West,False,False,False,True,1000,1000,1000,3,1,1,3,1,5,1,16,9,60,2,1358,North
12,9,None,None,East,West,False,False,False,True,1000,1000,1000,4,1,1,3,1,5,1,16,9,60,3,1357,West
13,9,None,South,None,West,False,False,False,True,1000,1000,1000,4,1,1,3,1,5,1,17,9,60,2,1356,East
12,9,None,None,East,West,False,False,False,True,1000,1000,1000,4,1,1,3,1,5,1,16,9,60,3,1355,West
13,9,None,South,None,West,False,False,False,True,1000,1000,1000,3,1,1,3,1,5,1,16,9,60,2,1354,East
13,8,North,South,None,None,False,False,False,True,1000,1000,1000,3,1,1,3,1,5,1,15,9,60,1,1353,South
13,9,None,South,None,West,False,False,False,True,1000,1000,1000,3,1,1,3,1,5,1,15,8,60,2,1352,North
13,8,North,South,None,None,False,False,False,True,1000,1000,1000,2,1,1,3,1,5,1,15,8,60,1,1351,South
13,9,None,South,None,West,False,False,False,True,1000,1000,1000,4,1,1,3,1,5,1,15,7,60,2,1350,North
13,8,North,South,None,None,False,False,False,True,1000,1000,1000,2,1,1,3,1,5,1,14,7,60,1,1349,South
13,7,North,South,East,None,False,False,False,True,1000,1000,1000,1,1,1,3,1,5,1,14,7,59,1,1448,South
8,3,North,None,East,West,True,True,True,True,4,6,7,15,8,7,10,7,11,7,17,9,67,1,99,West
8,4,North,South,None,None,True,True,True,True,4,6,5,14,9,7,10,8,10,7,17,9,67,2,98,North
8,5,None,South,East,None,True,True,True,True,3,6,3,13,9,7,10,9,9,7,17,9,67,2,97,North
9,5,North,None,East,West,True,True,True,True,1,4,3,13,9,6,10,8,9,8,18,9,67,3,96,East
9,6,North,South,None,None,True,True,True,True,1,4,3,11,9,7,10,9,9,9,18,8,67,2,95,North
9,7,North,South,East,West,True,True,True,True,1,2,2,11,9,8,10,8,9,9,18,9,67,1,94,North
9,8,North,South,East,None,False,False,True,True,1000,1000,1,9,1,1,9,8,9,9,18,8,66,1,593,North
9,9,None,South,East,West,False,False,True,True,1000,1000,1,9,1,1,3,1,10,9,18,9,65,1,692,North
9,8,North,South,East,None,False,False,True,True,1000,1000,1,10,1,1,3,1,10,8,18,9,65,1,691,South
10,8,North,South,None,West,False,False,False,True,1000,1000,1000,8,1,1,3,1,10,8,17,9,64,1,990,East
10,9,None,South,East,West,False,False,False,True,1000,1000,1000,8,1,1,3,1,5,1,18,9,63,1,1089,North
11,9,None,None,East,West,False,False,False,True,1000,1000,1000,7,1,1,3,1,5,1,18,9,62,1,1188,East
12,9,None,None,East,West,False,False,False,True,1000,1000,1000,5,1,1,3,1,5,1,17,9,61,1,1287,East
13,9,None,South,None,West,False,False,False,True,1000,1000,1000,5,1,1,3,1,5,1,18,9,60,1,1386,East
13,8,North,South,None,None,False,False,False,True,1000,1000,1000,6,1,1,3,1,5,1,18,9,59,1,1485,South
13,9,None,South,None,West,False,False,False,True,1000,1000,1000,5,1,1,3,1,5,1,18,9,59,2,1484,North
13,8,North,South,None,None,False,False,False,True,1000,1000,1000,6,1,1,3,1,5,1,18,9,59,1,1483,South
